num A B C D E F G H I J label
50 1 0 0 0 0 1 1 0 1 1 yes
51 0 1 1 1 1 0 0 0 1 0 no
52 0 0 0 1 1 0 1 1 0 1 yes
53 1 0 0 0 0 1 1 0 1 1 no
54 1 0 1 0 1 1 0 0 1 1 no
55 0 0 0 1 1 0 0 1 1 0 no
56 0 0 1 1 1 1 1 0 1 1 no
57 0 0 1 1 0 1 1 1 0 1 no
58 0 0 0 1 1 1 0 0 1 0 no
59 0 0 0 1 0 1 1 0 0 1 no
60 0 1 0 0 0 0 1 0 1 0 no
61 1 0 1 1 0 1 1 1 0 1 yes
62 1 0 1 0 0 1 0 1 1 1 yes
63 1 1 1 1 1 0 0 0 1 1 no
64 1 0 1 0 0 1 1 0 1 1 yes
65 0 0 0 1 0 1 1 0 0 1 no
66 0 1 1 1 1 0 0 1 0 0 no
67 1 0 0 1 1 1 0 1 0 0 no
68 1 1 0 1 0 0 1 1 0 1 no
69 1 0 1 1 0 0 0 1 1 0 yes
70 1 0 1 0 0 0 0 1 0 1 no
71 1 0 0 0 0 1 0 1 1 0 no
72 0 1 0 1 0 1 1 0 1 1 yes
73 0 0 0 0 0 0 0 1 1 0 no
74 0 0 1 0 1 0 0 1 1 0 yes
75 1 1 0 1 0 0 0 0 1 0 yes
76 0 1 1 0 1 1 0 1 1 0 yes
77 0 0 0 0 0 0 0 0 0 1 no
78 1 1 0 1 1 1 1 1 1 1 yes
79 0 0 0 0 1 1 0 1 1 0 no
80 1 0 1 0 0 0 1 1 1 0 yes
81 1 1 1 0 1 0 1 1 0 1 yes
82 0 0 0 1 0 0 0 0 0 1 no
83 1 1 1 0 1 1 1 0 1 0 yes
84 0 1 0 1 1 0 1 0 0 0 no
85 0 1 0 1 0 0 0 0 0 1 yes
86 0 0 0 1 1 0 0 0 1 1 yes
87 1 0 0 0 1 0 0 0 0 1 yes
88 0 0 1 1 1 1 0 0 0 0 yes
89 1 1 1 0 1 0 1 1 0 0 yes
90 1 1 1 0 1 0 1 1 1 0 yes
91 1 0 1 1 1 1 1 1 1 1 yes
92 0 0 1 0 0 0 0 1 0 1 no
93 0 0 1 1 1 1 1 0 0 0 yes
94 0 0 1 1 0 1 1 1 1 1 yes
95 0 1 1 0 0 1 0 1 1 1 no
96 0 0 1 0 1 1 0 1 1 0 yes
97 0 1 1 0 1 0 0 1 1 1 yes
98 1 0 0 0 1 1 1 1 1 0 yes
99 0 0 0 1 0 0 1 0 1 0 yes
100 1 1 0 0 1 0 1 1 0 1 no
101 0 0 0 1 1 0 1 0 0 0 yes
102 0 1 1 0 0 1 1 0 1 1 yes
103 0 1 0 1 1 1 0 0 0 1 yes
104 0 0 0 1 0 0 0 1 0 1 no
105 1 1 1 0 0 1 1 1 0 1 no
106 0 0 0 1 1 1 1 1 0 0 yes
107 0 1 0 1 1 0 1 1 1 1 yes
108 1 1 0 0 0 0 0 0 1 1 yes
109 1 0 0 0 1 1 1 0 0 1 no
110 1 1 1 1 1 1 1 0 0 0 no
111 0 1 0 1 0 1 1 1 0 1 yes
112 1 0 0 1 0 0 0 0 1 1 yes
113 0 0 0 0 0 1 0 0 1 1 yes
114 1 1 1 1 1 1 0 0 0 1 yes
115 1 0 1 1 0 1 0 0 0 0 yes
116 0 1 0 0 0 1 0 0 0 1 yes
117 0 0 1 1 0 1 0 0 0 1 yes
118 1 1 0 0 0 0 0 1 0 1 no
119 0 1 1 0 1 1 0 0 0 1 yes
120 0 0 0 0 0 1 0 0 1 0 no
121 0 0 0 0 0 1 0 0 1 0 yes
122 1 0 0 0 1 0 1 0 0 0 yes
123 0 1 0 0 0 1 1 1 1 0 yes
124 0 0 0 0 0 0 1 1 0 1 yes
125 0 0 0 1 0 1 0 1 0 1 no
126 1 1 1 0 1 0 1 1 0 0 no
127 1 0 0 0 1 0 0 0 0 1 no
128 0 1 0 0 0 0 1 0 1 1 no
129 0 1 0 0 0 1 0 1 0 0 no
130 1 1 1 1 0 1 0 0 0 1 no
131 1 1 1 0 0 1 1 0 0 1 yes
132 0 1 1 0 1 0 1 0 1 1 no
133 0 0 1 0 0 0 1 1 1 0 no
134 1 0 1 1 0 1 0 1 1 0 no
135 1 0 1 1 0 1 0 0 1 0 no
136 1 1 1 0 0 0 1 0 0 0 yes
137 0 1 1 1 1 0 0 1 0 0 no
138 0 1 1 0 1 0 1 1 0 1 no
139 1 1 0 1 0 1 1 0 0 0 yes
140 1 1 0 0 0 0 0 0 0 0 yes
141 0 1 0 0 1 1 0 1 1 1 no
142 1 0 1 1 1 1 1 1 0 1 yes
143 1 0 0 0 1 1 0 1 0 1 yes
144 1 0 0 1 0 0 0 1 0 1 yes
145 0 1 1 0 1 1 1 0 0 0 yes
146 0 1 0 1 1 1 0 1 1 1 no
147 1 1 0 0 0 0 0 1 0 1 yes
148 1 0 0 1 1 0 0 0 1 0 yes
149 0 0 1 0 0 1 1 0 0 0 no
150 1 0 1 0 0 1 0 1 0 0 no
151 1 1 1 0 1 1 1 0 0 0 no
152 1 1 1 1 0 0 0 1 1 1 yes
153 0 1 0 0 1 1 0 1 0 1 yes
154 0 1 0 0 1 1 1 1 0 1 yes
155 0 0 1 1 0 1 1 1 0 1 yes
156 0 1 1 0 1 1 0 0 0 0 no
157 1 1 1 1 0 1 0 0 0 1 no
158 0 1 0 0 0 0 0 1 1 1 no
159 1 0 0 0 1 1 0 0 0 0 yes
160 1 1 0 0 1 1 1 0 0 1 yes
161 1 0 0 1 1 1 1 1 0 1 no
162 0 0 0 1 1 0 1 1 1 0 no
163 0 0 1 1 0 0 0 0 0 0 no
164 1 0 1 1 1 0 0 0 0 0 no
165 1 1 1 0 1 1 1 1 1 1 no
166 0 1 0 0 1 0 1 1 0 1 yes
167 1 1 0 0 0 1 0 1 0 1 yes
168 1 1 1 0 1 1 0 1 0 0 no
169 0 0 1 1 0 1 0 1 0 1 no
170 0 1 1 1 1 0 1 1 0 1 no
171 0 1 1 1 0 0 0 1 0 1 yes
172 1 0 1 1 0 0 0 1 1 1 yes
173 0 0 1 1 0 1 1 1 0 0 no
174 1 1 1 0 0 1 0 1 1 1 yes
175 1 0 0 1 0 1 1 0 0 0 no
176 1 1 1 1 1 0 1 0 0 1 no
177 1 1 1 0 0 1 1 1 0 0 no
178 1 0 0 1 1 1 1 0 0 0 no
179 0 1 1 1 1 0 1 0 0 1 yes
180 1 0 0 0 0 0 0 1 0 0 no
181 1 0 1 0 0 0 1 1 0 1 yes
182 0 1 0 0 0 0 1 1 1 0 no
183 1 0 0 1 1 1 1 1 1 0 no
184 1 0 1 0 0 1 0 1 0 0 no
185 0 0 1 0 0 1 0 0 1 0 no
186 0 0 0 0 1 0 0 0 1 1 no
187 0 1 0 1 0 1 1 0 1 0 no
188 0 1 1 0 1 0 1 0 0 0 yes
189 1 1 0 0 1 1 1 0 1 1 yes
190 0 1 0 1 1 1 1 1 1 0 no
191 0 1 1 1 0 0 1 0 1 1 yes
192 1 1 1 0 1 0 1 1 0 0 yes
193 1 1 1 1 0 0 0 0 1 1 no
194 0 1 0 0 1 1 1 0 1 1 no
195 1 0 0 1 0 1 1 0 1 0 yes
196 0 0 0 1 0 0 0 0 1 0 yes
197 0 0 0 1 1 1 1 0 0 0 yes
198 1 0 1 1 1 0 1 0 0 1 yes
199 0 1 0 1 0 1 1 0 0 0 yes
200 0 0 1 0 0 0 0 0 1 1 yes
201 0 1 1 0 0 0 1 1 0 0 yes
202 0 1 1 0 0 0 0 0 0 1 no
203 0 1 1 0 0 1 0 1 1 1 yes
204 0 1 1 0 0 1 0 0 1 0 no
205 0 0 0 1 0 0 1 0 0 1 yes
206 1 0 0 1 1 1 0 1 0 0 yes
207 1 0 1 1 0 0 0 0 1 0 yes
208 0 1 1 0 0 0 1 1 1 0 no
209 1 0 1 0 1 0 0 1 1 0 yes
210 0 1 0 0 0 1 0 0 1 0 no
211 0 0 1 1 1 0 1 0 1 0 yes
212 1 1 1 1 0 1 0 0 0 0 yes
213 1 0 1 1 1 1 0 0 0 0 yes
214 1 1 0 0 0 0 0 0 0 1 no
215 1 0 0 0 0 1 0 1 0 1 no
216 0 1 0 1 1 0 0 0 1 0 yes
217 0 1 0 0 1 1 0 1 1 1 yes
218 0 0 0 1 0 0 1 0 1 0 yes
219 1 0 0 0 0 0 1 1 1 0 no
220 1 1 0 1 0 1 0 0 0 0 yes
221 1 0 1 0 1 0 0 0 0 1 no
222 1 1 0 0 1 1 1 1 0 1 yes
223 1 1 0 0 1 0 1 1 1 1 no
224 0 0 1 0 0 0 1 1 1 1 no
225 0 1 0 0 0 1 0 0 1 0 no
226 1 1 1 1 0 0 0 0 1 0 no
227 0 1 1 1 1 1 1 1 0 0 yes
228 1 0 1 1 0 0 0 0 1 1 yes
229 1 0 1 1 0 0 1 0 0 0 no
230 0 0 1 1 0 1 1 1 0 1 no
231 0 1 1 0 0 1 0 0 0 1 no
232 1 1 1 0 0 1 0 1 0 0 no
233 0 1 1 0 1 1 1 1 1 1 no
234 1 1 0 0 0 1 0 1 1 0 no
235 0 1 0 0 0 1 1 0 0 0 no
236 1 1 1 0 1 0 0 1 0 0 no
237 1 0 1 0 0 1 0 1 0 1 yes
238 1 1 1 0 0 0 1 1 0 0 no
239 1 0 1 1 0 0 0 0 0 1 yes
240 1 1 0 0 1 1 0 1 0 0 yes
241 1 1 1 1 1 1 0 1 1 1 no
242 1 0 1 0 0 1 0 0 1 1 yes
243 0 1 0 0 1 0 0 1 1 0 yes
244 0 0 1 1 0 0 0 0 0 0 no
245 0 1 0 0 0 0 0 1 1 0 yes
246 0 0 0 1 0 1 1 0 1 0 no
247 1 1 0 0 1 0 1 1 1 1 yes
248 1 1 1 0 0 0 1 1 0 0 no
249 0 1 0 1 1 0 1 0 0 1 no
250 0 1 1 1 0 1 1 0 1 0 no
251 1 1 0 1 1 0 1 1 0 1 yes
252 1 0 1 1 1 1 1 0 1 0 yes
253 1 1 0 1 1 1 1 0 0 0 no
254 0 0 0 0 0 1 1 1 0 0 no
255 1 0 1 1 1 1 0 1 0 1 no
256 0 0 0 1 1 0 1 1 1 1 yes
257 1 1 0 0 1 0 1 0 1 1 no
258 0 0 0 1 0 1 1 0 1 0 yes
259 0 0 0 0 0 0 0 1 0 1 no
260 1 1 0 0 1 1 0 1 0 1 yes
261 0 0 1 1 0 0 0 1 0 0 no
262 1 1 0 0 0 0 0 1 0 1 no
263 1 1 1 0 1 1 1 0 0 0 no
264 0 0 1 1 1 1 0 0 1 0 no
265 0 1 0 0 1 0 1 1 0 0 yes
266 0 1 1 1 0 0 0 0 0 0 yes
267 0 1 1 0 1 0 0 0 0 1 yes
268 1 0 1 0 1 1 0 0 1 0 yes
269 0 0 0 0 0 1 1 0 1 1 yes
270 0 1 1 0 1 0 1 1 0 1 no
271 0 0 0 0 0 0 0 1 1 1 yes
272 1 0 1 1 0 0 0 0 1 0 yes
273 1 1 0 0 1 0 0 0 1 0 no
274 0 1 1 0 1 1 0 0 0 0 no
275 1 0 0 1 1 1 1 1 1 1 no
276 1 0 0 1 1 1 0 0 1 0 no
277 0 0 1 0 0 1 1 0 1 1 no
278 1 0 1 0 0 1 1 0 0 1 yes
279 1 1 1 0 0 0 0 0 0 0 yes
280 1 1 0 1 0 0 0 0 0 0 no
281 0 1 0 0 1 1 0 1 0 0 yes
282 1 0 1 1 0 1 1 1 1 1 no
283 0 1 0 0 1 0 0 0 1 0 no
284 1 1 0 0 1 0 0 0 0 0 yes
285 1 1 1 1 1 1 0 0 1 1 yes
286 1 0 0 0 0 1 1 1 0 1 no
287 1 0 0 1 0 1 1 1 0 1 no
288 0 0 1 0 1 0 0 1 0 0 yes
289 0 0 1 0 1 0 0 0 1 0 yes
290 1 1 1 0 1 0 1 0 0 1 yes
291 0 1 0 1 1 0 0 1 1 1 no
292 0 1 1 1 0 0 0 1 1 0 yes
293 0 1 0 1 0 0 1 1 0 1 no
294 0 1 1 1 1 0 0 0 0 1 no
295 1 1 0 0 1 1 0 1 0 0 no
296 0 0 1 1 0 1 1 1 1 0 yes
297 1 0 1 0 0 0 0 1 0 0 yes
298 1 0 1 1 1 0 1 1 1 1 no
299 1 1 0 1 0 1 0 0 1 1 no
300 1 0 0 1 1 1 1 1 1 1 yes
301 0 1 1 1 0 1 1 1 0 1 no
302 0 1 1 0 0 1 0 0 1 0 no
303 1 0 1 1 1 1 0 1 0 0 no
304 1 0 1 0 0 0 1 0 1 1 no
305 1 1 0 1 0 0 0 0 1 0 no
306 0 1 0 0 0 0 1 0 1 1 no
307 1 1 1 1 1 0 1 0 0 0 yes
308 1 0 0 1 0 1 0 1 1 1 yes
309 0 0 0 1 1 1 1 1 0 0 no
310 1 0 0 1 0 0 0 0 1 1 yes
311 0 0 1 1 1 0 1 1 0 0 no
312 0 0 1 1 0 0 1 1 0 0 yes
313 1 1 0 1 0 1 1 0 0 1 yes
314 1 1 1 0 1 0 0 1 0 0 yes
315 1 0 0 0 1 0 1 0 1 0 yes
316 0 0 0 1 0 1 0 1 1 1 yes
317 0 1 0 0 0 0 1 0 1 1 no
318 1 1 1 0 1 1 0 1 1 1 yes
319 1 1 0 1 1 0 0 1 1 1 no
320 0 1 0 0 1 1 0 1 1 1 yes
321 0 0 0 0 0 0 1 0 1 0 no
322 1 0 1 1 1 0 1 1 0 1 no
323 1 0 1 1 0 1 0 1 0 1 no
324 1 1 0 0 1 1 0 0 1 0 yes
325 1 0 1 1 0 0 1 0 0 0 yes
326 1 1 1 1 1 1 1 0 0 0 yes
327 0 0 1 1 1 1 1 1 1 0 yes
328 1 0 1 0 0 0 1 0 0 0 no
329 1 1 0 1 1 1 1 1 1 1 yes
330 1 0 1 1 1 0 0 1 1 1 no
331 1 1 1 1 0 0 1 1 0 0 yes
332 0 1 1 1 1 1 1 1 1 0 no
333 0 1 0 1 1 0 0 0 0 0 no
334 1 0 1 0 1 0 1 1 1 0 yes
335 0 0 0 1 1 1 0 0 0 0 yes
336 0 1 0 1 1 1 0 1 1 1 no
337 1 0 0 1 0 1 0 0 1 0 no
338 1 0 1 1 1 0 1 1 0 0 no
339 0 0 1 1 0 1 0 0 0 1 no
340 0 0 1 1 0 1 0 0 1 0 yes
341 1 0 0 0 1 1 0 0 0 1 yes
342 0 0 0 1 0 1 1 1 0 0 yes
343 1 0 0 0 0 0 0 1 0 1 no
344 0 0 0 1 1 1 1 1 0 0 no
345 1 0 1 1 0 1 1 1 0 1 yes
346 1 0 1 0 1 0 1 0 1 0 no
347 1 1 1 1 0 1 0 0 0 0 no
348 1 0 1 1 0 1 1 0 0 0 yes
349 1 0 1 1 0 1 1 0 1 1 no
350 0 0 0 0 0 0 1 1 1 1 no
351 1 1 0 0 1 0 1 1 1 1 no
352 1 1 1 0 0 1 0 0 1 1 no
353 1 0 1 1 1 0 1 1 1 1 yes
354 1 1 1 1 1 0 0 1 1 0 yes
355 1 1 1 0 0 1 0 0 0 1 no
356 1 1 1 1 1 1 0 1 0 1 no
357 0 1 0 1 0 0 1 0 1 0 yes
358 0 0 1 0 0 1 1 0 0 0 yes
359 1 0 1 0 0 0 1 1 1 0 yes
360 1 0 1 1 0 0 1 1 1 0 no
361 0 1 0 0 0 1 0 1 1 0 yes
362 0 0 1 0 0 0 0 1 0 0 no
363 1 0 1 1 1 1 1 0 0 0 no
364 0 1 1 0 0 1 1 0 0 1 no
365 1 0 1 0 1 1 1 0 1 0 no
366 1 1 0 1 1 0 1 1 1 0 no
367 1 1 1 1 1 0 0 1 0 0 yes
368 1 0 1 0 0 1 1 0 0 1 yes
369 0 1 1 0 1 1 0 0 0 1 no
370 1 1 0 0 1 1 1 0 1 0 no
371 1 1 0 0 1 0 0 0 0 0 yes
372 1 0 1 1 0 1 0 1 0 0 yes
373 1 1 0 1 0 0 0 1 0 1 no
374 1 1 1 1 0 0 0 0 1 0 no
375 0 1 0 1 1 1 0 1 0 0 no
376 0 1 1 1 1 0 0 0 0 0 no
377 0 0 0 0 0 0 0 0 0 1 yes
378 1 0 0 0 0 1 1 0 0 1 yes
379 0 0 1 0 0 1 1 0 1 1 no
380 1 1 1 1 0 0 1 0 0 1 yes
381 0 0 0 1 1 1 0 1 1 0 yes
382 0 1 1 1 1 1 1 1 1 1 yes
383 0 1 0 0 0 1 0 0 1 0 yes
384 1 0 1 1 1 1 0 0 0 0 no
385 1 0 1 0 1 1 1 0 0 0 yes
386 1 1 1 0 1 0 1 1 1 1 yes
387 0 0 1 1 0 0 0 1 1 1 no
388 1 1 0 0 0 1 1 0 1 1 yes
389 1 1 0 1 1 0 1 1 1 0 no
390 0 0 0 1 1 0 0 1 0 1 yes
391 1 0 0 0 1 0 1 0 0 1 no
392 1 1 1 0 1 0 1 0 0 0 yes
393 1 1 0 1 1 0 0 0 0 1 yes
394 0 0 0 0 0 0 0 0 0 1 no
395 0 0 0 1 1 0 0 0 1 0 no
396 0 0 1 1 1 0 0 0 1 0 yes
397 1 1 1 1 0 1 0 1 1 0 yes
398 0 1 0 0 1 0 0 0 1 0 no
399 1 1 1 1 1 1 1 0 0 0 yes
400 1 0 0 1 0 0 1 0 1 0 no
401 1 1 1 0 0 1 1 0 0 1 yes
402 0 0 0 1 0 0 0 1 0 1 yes
403 1 0 0 1 0 1 1 0 0 1 no
404 0 1 0 1 1 0 0 0 1 0 yes
405 0 0 1 0 0 1 1 0 1 1 no
406 0 1 0 1 1 1 0 1 0 0 yes
407 0 0 0 1 1 1 0 0 1 1 no
408 0 0 1 1 1 1 0 0 1 0 yes
409 1 1 1 0 0 1 1 0 1 0 no
410 1 1 1 1 0 1 0 1 1 1 yes
411 1 0 0 0 0 1 1 1 1 1 yes
412 0 1 1 1 0 1 0 1 1 0 no
413 1 1 1 0 0 1 0 0 1 1 no
414 0 0 0 0 1 0 1 1 1 1 yes
415 1 1 0 1 1 1 0 1 0 0 yes
416 0 1 0 0 1 0 1 0 1 1 no
417 1 1 1 1 0 1 1 0 1 0 yes
418 1 0 0 1 1 0 1 0 0 1 no
419 1 1 1 1 1 0 1 1 1 1 yes
420 0 0 1 1 0 1 1 0 0 0 no
421 0 1 0 1 0 1 1 1 1 0 yes
422 1 1 1 0 0 1 1 0 0 0 yes
423 1 0 0 0 0 1 0 1 0 1 no
424 0 1 1 1 0 1 0 1 0 0 yes
425 0 1 0 0 1 1 0 0 0 0 no
426 1 0 0 0 1 1 1 1 1 1 yes
427 0 1 0 0 1 1 1 1 0 0 no
428 1 0 1 0 1 0 0 1 1 0 yes
429 0 1 1 0 1 0 0 1 1 0 yes
430 0 1 1 1 1 1 1 1 1 1 yes
431 1 0 0 0 0 1 1 0 1 1 no
432 1 0 1 1 0 0 1 1 1 0 yes
433 0 1 1 1 1 0 0 0 1 1 no
434 0 1 0 1 1 0 1 1 1 0 no
435 1 1 1 1 0 0 0 1 1 0 no
436 0 0 0 1 0 0 1 0 1 0 no
437 0 0 1 1 0 0 1 0 0 0 yes
438 0 0 1 0 1 1 0 1 1 0 yes
439 0 1 1 1 1 0 0 1 0 1 no
440 1 0 0 1 0 0 1 0 1 0 yes
441 1 1 0 1 0 1 1 1 1 0 yes
442 0 1 0 1 1 0 1 1 1 1 yes
443 1 1 1 0 0 1 0 0 0 1 yes
444 1 0 1 1 1 1 0 1 0 0 yes
445 1 0 1 1 1 0 1 1 0 0 no
446 1 0 0 1 1 1 1 0 1 0 no
447 0 0 0 1 1 1 0 0 1 1 yes
448 1 1 0 0 0 0 1 0 0 1 no
449 1 1 1 0 0 1 0 0 0 1 yes
450 1 1 0 0 1 0 0 0 0 0 no
451 1 1 1 1 0 1 1 1 1 1 yes
452 1 0 1 0 0 0 1 1 0 1 no
453 0 0 0 1 1 0 0 1 1 1 yes
454 0 1 1 0 0 0 0 0 0 1 no
455 1 1 1 1 1 1 1 1 0 0 no
456 0 1 0 1 0 1 1 1 0 0 yes
457 0 0 1 1 0 1 0 0 1 0 yes
458 1 1 0 1 0 0 0 0 0 0 yes
459 0 1 0 0 0 1 0 1 1 1 no
460 0 1 0 1 1 0 1 1 0 0 yes
461 1 0 0 1 0 1 0 1 1 1 yes
462 1 0 0 0 0 0 0 0 1 1 no
463 0 0 1 0 1 0 0 0 0 0 no
464 1 1 0 1 1 1 1 1 1 0 no
465 1 0 0 1 0 0 1 1 0 0 no
466 1 1 1 1 0 1 1 1 1 1 no
467 1 1 1 0 0 0 1 1 0 1 no
468 1 0 0 1 1 0 1 1 1 0 no
469 0 0 0 0 0 1 0 1 0 1 no
470 1 1 1 0 0 1 1 0 0 0 yes
471 0 0 1 0 0 0 0 0 1 1 yes
472 1 1 1 0 1 0 1 1 1 0 yes
473 0 0 0 1 0 0 0 1 0 0 no
474 1 1 0 1 0 0 1 1 1 1 yes
475 0 1 0 1 1 0 0 0 1 1 yes
476 0 1 0 1 0 0 1 0 0 1 no
477 0 1 1 0 0 0 0 1 0 0 yes
478 1 0 1 1 1 1 0 1 1 0 yes
479 0 1 0 0 0 1 0 1 0 1 yes
480 1 1 1 0 1 0 0 0 1 0 no
481 1 1 0 0 0 1 0 0 1 0 no
482 1 0 0 0 1 1 1 0 1 0 no
483 1 0 1 0 1 1 0 1 0 1 no
484 1 1 0 1 1 0 0 1 1 1 yes
485 1 1 1 1 0 0 1 1 1 0 no
486 0 0 0 0 0 1 0 1 0 1 no
487 0 1 0 0 0 0 1 1 1 0 no
488 1 0 0 0 1 0 1 1 0 1 no
489 1 0 0 0 1 1 1 1 1 0 yes
490 0 1 0 1 0 0 0 1 1 0 no
491 1 0 1 0 1 0 1 1 1 1 no
492 0 1 0 1 1 1 0 1 1 1 yes
493 1 0 0 0 0 1 1 1 1 0 no
494 0 1 0 0 0 0 1 0 1 0 yes
495 1 1 0 1 0 1 1 0 1 1 yes
496 0 1 1 1 0 1 1 0 1 0 yes
497 0 0 0 0 0 1 0 1 0 1 yes
498 1 0 0 0 1 1 1 1 1 0 no
499 1 0 1 1 0 1 0 0 1 0 no
500 0 1 0 0 1 1 0 1 0 1 no
501 0 0 1 0 0 0 1 1 0 0 no
502 1 0 0 0 0 1 0 1 0 1 no
503 1 1 0 1 1 1 0 0 1 0 yes
504 0 0 1 1 1 0 0 0 0 0 no
505 0 1 0 0 1 1 1 0 1 1 no
506 0 0 1 0 1 1 1 0 1 1 no
507 1 0 1 1 0 0 0 0 0 0 no
508 1 0 1 1 0 1 1 0 0 1 no
509 0 1 0 1 0 0 0 0 0 0 no
510 1 0 0 1 1 0 0 0 1 1 yes
511 0 0 1 1 1 1 0 1 1 0 yes
512 0 0 0 0 1 1 1 1 1 0 no
513 1 0 1 0 0 0 0 0 0 1 yes
514 0 1 0 0 1 0 1 0 0 1 no
515 1 1 0 1 0 1 1 0 1 1 yes
516 0 1 1 1 1 0 0 1 0 1 yes
517 1 1 1 1 1 0 0 1 0 0 yes
518 1 0 1 0 0 1 0 1 1 0 no
519 0 0 1 1 1 0 1 0 1 1 no
520 0 0 1 0 0 1 1 1 1 0 no
521 1 1 1 0 0 0 1 1 1 0 no
522 1 0 0 0 1 1 1 1 1 0 yes
523 1 0 1 1 0 1 1 1 1 1 no
524 1 1 0 0 0 1 0 0 0 1 yes
525 1 0 1 1 1 1 1 1 0 1 no
526 1 0 1 0 1 0 0 0 1 1 yes
527 0 1 1 0 0 0 0 0 1 0 yes
528 1 0 1 1 0 0 0 1 0 1 no
529 0 0 0 0 1 0 1 1 1 1 yes
530 1 0 1 0 0 1 0 1 1 0 yes
531 1 1 0 0 0 1 0 1 1 1 no
532 0 1 1 1 1 1 0 1 0 0 no
533 0 1 1 1 0 0 1 0 1 0 yes
534 0 1 0 1 1 1 1 1 1 1 yes
535 0 0 0 0 0 1 1 1 1 1 yes
536 0 0 0 0 1 1 0 0 1 0 no
537 0 0 1 1 0 0 1 0 1 0 no
538 0 1 0 0 1 0 0 1 0 0 no
539 1 0 1 1 0 0 0 1 0 0 no
540 1 1 0 1 0 1 1 0 1 0 yes
541 1 1 0 0 1 0 0 0 0 1 no
542 1 0 0 1 1 0 0 0 1 0 no
543 0 1 0 0 0 1 0 0 1 0 no
544 0 0 1 0 1 1 0 1 1 0 no
545 0 0 0 0 0 1 1 1 0 1 no
546 1 1 1 0 1 1 1 1 1 0 yes
547 1 1 1 1 0 1 0 0 1 1 no
548 1 1 0 1 0 1 1 1 0 1 no
549 1 1 1 0 1 0 0 1 0 0 yes
550 1 1 0 1 0 1 1 1 1 0 yes
551 1 0 0 1 0 1 0 1 1 1 yes
552 1 0 1 0 1 1 1 1 1 0 no
553 1 0 1 0 1 0 1 0 0 0 no
554 0 0 0 1 0 1 0 1 0 0 yes
555 1 1 0 0 0 0 0 0 1 1 no
556 0 0 0 1 1 0 1 1 0 0 yes
557 1 0 0 0 1 0 0 1 0 1 no
558 0 1 0 1 1 1 1 0 1 0 no
559 1 0 1 0 0 1 0 0 1 0 yes
560 1 1 0 1 1 0 0 1 1 0 yes
561 0 1 1 0 0 1 1 0 1 1 no
562 1 0 1 1 1 1 0 0 0 1 no
563 0 1 1 1 1 1 0 1 0 0 no
564 1 0 0 1 0 1 1 1 0 1 no
565 1 0 0 0 1 1 0 0 0 0 no
566 0 0 1 1 1 0 1 0 1 0 no
567 1 1 1 1 1 0 0 1 1 0 no
568 1 1 0 1 0 0 1 0 1 0 no
569 0 1 1 0 0 1 0 1 0 0 no
